node_id,node_name,start_lon,start_lat,end_lon,end_lat
16799388,Raguel Church - Dil Ber,38.7422058,9.0339778,38.7374397,9.0710894
16799566,Lamberet - Autobis Tera,38.8251916,9.0253421,38.7321005,9.0347276
16799821,Raguel Church - Kera,38.7422058,9.0339778,38.7484333,8.9866969
16799950,Summit Condominiums - Bole,38.8569749,8.9842709,38.794928,8.9916854
16800759,Gerji - Arat Kilo,38.8134417,8.9947353,38.7633615,9.0319312
16803209,Mexico - Alem Gena,38.7444332,9.0094665,38.6526472,8.9230001
16803318,Bethel - Autobis Tera,38.6944335,9.0045877,38.7321005,9.0347276
16803475,Gerji - Autobis Tera,38.8134417,8.9947353,38.7321005,9.0347276
16803572,Mexico - Lafto,38.7444332,9.0094665,38.744323,8.9473774
16804052,Megenagna - Jemmo 2,38.8021491,9.0180934,38.6879228,8.9606298
16804748,Sansusi - Megenagna,38.6891023,9.0714186,38.8021491,9.0180934
16807402,Sendafa - Raguel Church,39.0183309,9.1496399,38.7422058,9.0339778
16807587,Yeka Abado - Piassa Arada,38.875565,9.0689298,38.7522029,9.0365871
16810442,Sebeta - Autobis Tera,38.6221215,8.9114218,38.7321005,9.0347276
16813413,Piassa Arada - Ajamba,38.7522029,9.0365871,38.6686783,8.9817301
16813486,Piassa Arada - Ferensay,38.7522029,9.0365871,38.7775924,9.0570997
16813875,St. George Church - Addisu Gebeya,38.7524175,9.0363938,38.7374497,9.0594855
16814055,Megenagna Terminal - Aba Kiros Roundabout,38.8026673,9.0203188,38.8785328,9.0561234
16814777,Mexico - Aba Kiros,38.7444332,9.0094665,38.8812971,9.0606875
16814864,Mexico - Kara Kore,38.7444332,9.0094665,38.6817556,8.9755975
16815120,Sebeta - Ayer Tena,38.6221215,8.9114218,38.6982193,8.9831093
16815233,Yeka Abado - Mexico,38.875565,9.0689298,38.7444332,9.0094665
16815447,Piassa Arada - Bethel,38.7522029,9.0365871,38.6944335,9.0045877
16815552,Mexico - Bole Bridge,38.7444332,9.0094665,38.7903601,8.9867261
16815658,Mexico - Gurara,38.7444332,9.0094665,38.7893816,9.0626023
16815683,Mexico - Haile Garment,38.7444332,9.0094665,38.7345586,8.9387647
16815787,Mexico - Jemmo 2,38.7444332,9.0094665,38.6879228,8.9606298
16816053,Yeshi Debele - Autobis Tera,38.6954056,9.0195382,38.7321005,9.0347276
16817583,Yeka Abado - Tulu Dimtu,38.875565,9.0689298,38.8041524,8.8556159
16817599,Summit Condominiums - Bole,38.8569749,8.9842709,38.794928,8.9916854
16817834,Bole Bridge - Addisu Gebeya,38.7903601,8.9867261,38.7374497,9.0594855
16817865,Megenagna - Addisu Gebeya,38.8021491,9.0180934,38.7374497,9.0594855
16817897,Megenagna - Ayer Tena,38.8021491,9.0180934,38.6982193,8.9831093
16817958,Megenagna - Bole Bulbula,38.8021491,9.0180934,38.7853078,8.948586
16819131,Kality Meneharia - Bole Bridge,38.7717989,8.8958584,38.7903601,8.9867261
16819161,Jemo 1 - Autobis Tera,38.6959643,8.9538291,38.7321005,9.0347276
16820941,Stadium - Kality Meneharia,38.7570321,9.0120276,38.7717989,8.8958584
16820954,Gurara - 4 Kilo,38.7893816,9.0626023,38.7632636,9.034462
16820988,Yeshi Total - Tulu Dimtu Adebabay,38.799347,8.866627,38.8201689,8.8747821
16821152,Megenagna - Haile Garment,38.8021491,9.0180934,38.7345586,8.9387647
16821389,Saris - Kality Meneharia,38.7634093,8.9535755,38.7717989,8.8958584
16821505,Saris - Koye Feche,38.7634093,8.9535755,38.8270083,8.9045894
16821697,Megenagna - Saris Abo,38.8021491,9.0180934,38.7692016,8.9444277
